Teks_Komentar,teks_final
"satu ungkapan buat INDONESIA... GUA CINTA MATI SAMA LU, SAMA BANGSA LU, ORANG-ORANG JAWA, ORANG-ORANG SUNDA, ORANG-ORANG TIMUR, ORANG-ORANG ACEH, ORANG-ORANG DAYAK, PADANG, BETAWI, FLORES, AMBON, PAPUA, BALI, SELURUH SUKU DAN RAS INDONESIA DI PEDALAMAN KALIAN BERADA, ORANG-ORANG BAIK YANG HIDUP DAMAI DI PELOSOK TANPA MIKIRIN NEGARA, GUA CINTA SAMA KALIAN, KEBAIKAN KALIAN.  SELEBIHNYA SATU KATA BUAT PEMERINTAHAN INDONESIA DAN OKNUMNYA, KONTOOOOOLLLL!!!",indonesia cinta mati bangsa orangorang jawa orangorang sunda orangorang timur orangorang aceh orangorang dayak padang betawi flores ambon papua bal suku ras indonesia orangorang hidup damai pelosok pikir negara cinta perintah indonesia oknum kontoooool
Kabur aja dulu? Lah presidennya juga alumni kabur aja dulu ngaco bahlul!!,kabur presiden alumni kabur aco bahlul
bg gw nanya kalo orang yg keluar negeri tapi pergi ke arab saudi untuk menunaikan ibadahnya selama 1 atau 5 bulan apakah tidak nasionalisme   tolong dijawab bg  manusia akan melakukan apapun untuk dirinya sendiri daripada orang lain,gue orang negeri pergi arab saudi tunai ibadah nasionalisme tolong manusia laku orang
pasti ada akar masalahnya mengapa sampai seperti itu sistem pemerintah Indonesia,akar sistem perintah indonesia
"Lo tau gak bang menurut gua nih yaa pemerintahan bisa gua anggap kaya bapak gua sendiri, mereka gak mau tau dan gak mau ngakuin kita kalau kita gak bisa mandiri, mereka cuma bisa bikin kita kesel terus akhirnya kita berontak dan bangkit dengan kekecewaan kita dan emosi kita, cara itu paling mudah dan murah bang aslinya, gua nih kaga jadi apa2 di rumah di bikin kesel terus ada aja isengnya bikin gua gak nyaman, biar gua keluar dari rumah mandiri dan bisa sukses abis itu dia bisa claim anaknya hebat dengan didikan mereka yg murahan dan nyebelin itu, mereka gak perlu sekolahin anak, les in anak, mahal2 cukup bikin kesel aja sampe emosi kita muncak gak nyaman terus cabut sampe bisa mandiri dan sukses. Begitu bang kayanya caranya sama boomers begitu karna mereka bisa mandiri dari susah dan tanpa parenting yg baik, jadi mereka masih pakai cara lama, lo liat aja bang isinya boomer semua pemerintahan",perintah anggap kayak ngakuin mandiri bikin kesel berontak bangkit kecewa emosi mudah murah asli kagak apaapa rumah bikin kesel iseng bikin nyaman rumah mandiri sukses habis claim anak hebat dik murah sebal sekolah anak les anak mahal bikin kesel emosi muncak nyaman cabut mandiri sukses kaya boomers mandiri susah parenting pakai lihat isi boomer perintah
"Naaah lhoooo, sadarlah Pemerintah, perbaiki iklim pemerintahan, demokrasi, penegakan hukum, dll berdasarkan meritokrasi, kesetaraan dan keadilan.😃",naaah lho sadar perintah iklim perintah demokrasi tega hukum dl dasar meritokrasi tara keadilanwajahtersenyumlebar
Kalau rakyat di negara ini kabur aja dulu  Yang pasti para pejabat di negara ini dengan senang hati mereka tertawa terbahak-bahak  Karna mereka semakin besar peluang untuk menghabiskan hasil bumi di negara ini,rakyat negara kabur jabat negara senang hati tertawa terbahakbahak peluang habis hasil bumi negara
yang ga nasionalis itu yang korupsi. itu aja!,nasionalis korupsi
"enaknya disini bang santai doang, cuma kalau cuma kerja doang bakal miskin seumur hidup, pekerja itu miskin disini mau punya skill mau enggak. contohnya gw kerja gak kaya2, punya tabungan enggak, punya skill iya, gajinya cuma abis buat bayar kontrakan dan idup sehari hari.  emak gw nyuruh2 gw pergi ke jepang terus, cuma gak ada modal",enak santai doang kerja doang miskin umur hidup kerja miskin skil contoh gue kerja kaya tabung skil iya gaji habis bayar kontra hidup emak gue nyuruh gue pergi jepang modal
Kabur aja dulu gabung sama Rohingya,kabur gabung rohingya
Pekerjaan dan rezeki gak di pemerintahan dan jabatan saja. Masih banyak yang lain koq,kerja rezeki perintah jabat
kabur ja kamu,kabur
"Jangan harapkan ""pemerintahan berjiwa feodal"" ini berkeadilan nasionalisme bro kecewaaaa, ""ujung point"" dari suatu ""negara"" adalah ""pemerintahannya"" , dan kita sudah melihat betapa mengecewakan itu semua, bagi gw cukup ada alasan yang  membedakan hidup di negri orang dan di tanah air sendiri, yg ngebedain adalah lu bisa jauh lebih sejahtera dalam urusan prekonomian dari pada dinegara sendiri yg industrialisasinya gak berkembang..., padahal itu pilar2 negara agar kehidupan berjalan, perekonomian jalan, negara maju dan peradaban maju..",harap perintah jiwa feodal adil nasionalisme kecewa ujung point negara perintah lihat betapa kecewa gue alas beda hidup negeri orang tanah air beda sejahtera urus prekonomian negara industrialisasinya kembang pilar negara hidup jalan ekonomi jalan negara maju adab maju
"yah orang yang menempuh pendidikan diluar negeri sekalipun nanti entah balik atau tidak,, sebenarnya sama aja dengan kabur aja dulu....kabur aja dulu pendidikan diluar negeri, nanti baru balik lagi....",orang tempuh didik negeri kabur dulukabur didik negeri
"jangan lupa juga, negara maju kaya jepang, inggris, perancis adalah negara imperial, ngerusak negara orang buat kemakmuran negaranya sendiri, termasuk indonesia adalah korban dari imperial eropa, sampe sekarang😂",lupa negara maju kayak jepang inggris perancis negara imperial ngerusak negara orang makmur negara masuk indonesia korban imperial eropa sekarangwajahgembiraberuraiairmata
"Sembari mau ingetin, kalo emang ada rencana berkarir permanen di LN jalur sekolah, banyak banget beasiswa yg dikasih oleh pemerintah LN dan kampus. Kalo lo emang merasa ga bisa komitmen bakal balik ke Indonesia, saran gw plis pakai beasiswa selain LPDP. Mari kita ngga jadi sama dengan orang orang lain yang berusaha ngakal ngakalin sistem yg bikin kapok tinggal di Indonesia dan bikin negara kita makin terpuruk",sembari rencana berkarir permanen ln jalur sekolah banget beasiswa kasih perintah ln kampus komitmen indonesia saran gue plis pakai beasiswa lpdp mari orang orang usaha ngakal ngakalin sistem bikin kapok tinggal indonesia bikin negara puruk
"Pak prabowo juga pernah kabur kan dulu ,kalau ngak salah ke yordania beberapa tahun ,pulssng pulang buat partai",prabowo kabur salah yordania pulssng pulang partai
"Yang harus diubah itu sistemnya karena kalau mau jadi pejabat harus banyak uang ujung""nya kebanyakan pejabat balas budi titipan oligarki dan pejabat yang mau balik modal dengan keluarganya dimasukkan serta cuci uang. Ayo semua rakyat harus turun ke jalan demo untuk buat peraturan yang mau menjabat di pemerintahan pusat maupun daerah harus kompeten dan beretika dan batas maksimal buat kampanye 3 jt sehingga orang jenius yang pengen ubah indonesia lebih baik lagi bisa nyalon. Juga buat peraturan pejabat itu kerjanya partime dari pekerjaan utamanya agar mereka juga merasakan sebagai rakyat dan presiden bisa dibagi 7 kayak di swiss agar tidak semena-mena.",ubah sistem jabat uang ujung jabat balas budi titip oligarki jabat modal keluarga masuk cuci uang ayo rakyat turun jalan demo atur jabat perintah pusat daerah kompeten etika batas maksimal kampanye juta orang jenius pengin ubah indonesia nyalon atur jabat kerja partime kerja utama rakyat presiden kayak swis semenamena
"kalo denger Rizal Fadilah serem, mending kabur sebelum kena bantai, nyawa lebih berharga  yg 58% ngga perlu kabur, ini kan kalian yg mau keadaan kaya gini, di mana2 selalu seolah2 paling cinta tanah air, kalo kalian kabur berarti kalian sama dengan menjilat ludah sendiri",dengar rizal fadilah seram mending kabur kena bantai nyawa harga kabur kayak olah cinta tanah air kabur arti jilat ludah
"Pemerintah tuh seharunya SADAR PLOK, Ga seharunya respon seprti itu buat rakyatnya  Minimal jawab untuk menenangkan, meyakinkan bukan justru malah bikin pesimis  Koplok",perintah haru sadar plok haru respon seprti rakyat minimal tenang bikin pesimis koplok
"Kabur aja dulu, kita sebarin bibit-bibit korupsi, kolusi, nepotisme, ketamakan, dan keserakahan yg udah tertanam di DNA orang Indonesia ke negara orang.",kabur sebarin bibitbibit korupsi kolusi nepotisme tamak serakah tanam dna orang indonesia negara orang
Kebijakan pemerintah itu bijaknya disebelah mana?,bijak perintah bijak belah
"Klo panji, cari duit di indonesia, lalu kabur  ke amerika habisin duitnya,  lalu cari lagi di indo , dan kabur lagi ke amerika untuk habisin",panji cari duit indonesia kabur amerika habisin duit cari indonesia kabur amerika habisin
"gw dari SMA dah di australia, di sini aja pas masih sekolah dah bisa kerja meanwhile di indo kerja dah syarat ribet gaji kecil",gue deh australia pas sekolah deh kerja meanwhile indonesia kerja deh syarat ribet gaji
Saya. Ngangur pengen ke jepang,ngangur pengin jepang
"Saya jujur sedih dengar mas panji ngomong gini, sesuram itu negara ini sampe bener bener tiap hari saya resah. Sampai sampai buka sosmed hanya untuk lihat hari ini pemerintah buat ketololan apa lagi 😢😢",jujur sedih dengar mas panji omong suram negara resah buka sosmed lihat perintah tolol wajahmenangiswajahmenangis
Yg mampu Kabur segeralah sdangkan yg gk mampu siap2lah Revolusi.,kabur sdangkan revolusi
Pak habibie juga keluarga akhirnya kabur ke jerman sampai sekarang,habibie keluarga kabur jerman
Aku jg mo ganti pasport warna Maroon aja ...,ganti pasport warna maroon
"How ""KaburAjaDulu"" became common way over generations in Indonesia : Corruption    Corruption in Indonesia is a complex issue rooted in historical, cultural, political, and economic factors. It has persisted across generations due to several key reasons:    1. Historical Legacy    - During the colonial period (Dutch rule), corruption was already present in governance structures.  - Under Suharto’s New Order (1967–1998), corruption became institutionalized as he maintained power by distributing wealth and positions to elites.    2. Weak Legal Enforcement    - Laws exist, but enforcement is inconsistent.  - Many powerful individuals escape justice due to political connections or bribery.    3. Culture of Patronage (Nepotism & Favoritism)    - ""Bapakisme"" (fatherly leadership) and gotong royong(mutual assistance) can sometimes blur the lines between loyalty and corruption.  - Many politicians and businesspeople maintain networks where favors and kickbacks are expected.    4. Low Wages in Public Sector    - Many civil servants, police, and government officials receive low salaries, making them more susceptible to bribes.    5. Weak Education on Ethics    - Anti-corruption values are not deeply ingrained in the education system.  - Many people see corruption as a way to survive or advance in life.    6. Public Tolerance & Normalization    - Small-scale corruption, such as bribing traffic police or paying for government services under the table, is often seen as normal.  - When the public tolerates corruption, it becomes harder to eradicate.    Political and Business Interests    - Many politicians fund their campaigns through corrupt means and later ""pay back"" their investors through government contracts or policies.  - Big businesses often collude with officials to win contracts or avoid regulations.    How It Passes Through Generations    1. Role Models – Younger generations see corrupt practices as a ""normal"" way to get ahead.    2. Family Influence – Some political and business families pass down their power and corrupt networks.    3. Weak Law Enforcement – Without serious consequences, corruption remains attractive.    4. Economic Pressures – In tough times, people prioritize survival over integrity.    Can It Be Stopped?    Yes, but it requires:  - Strong law enforcement & independent judiciary  - Better education on ethics & integrity  - Higher salaries for public officials  - More transparency in government transactions  - Public awareness & zero tolerance for corruption",kaburajadulu became common way generations indonesia corruption corruption indonesia complex issue rooted historical cultural political economic factors persisted acros generations due several key reasons historical legacy colonial period dutch rule corruption already present governance structures suhartosi new order corruption became institutionalized maintained power distributing wealth positions elites weak legal enforcement laws exist enforcement inconsistent many powerful individuals escape justice due political connections orang bribery culture patronage nepotism favoritism bapakisme fatherly leadership gotong royongmutual assistance sometimes blur les loyalty corruption many politicians businesspeople maintain networks favors kickbacks expected low wages public sector many civil servants police government officials receive low salaries making susceptible bribes weak education ethics anticorruption values deeply ingrained education system many people corruption way survive orang advance life public tolerance normalization smalscale corruption bribing traffic police orang paying government services table often seen normal public tolerates corruption becomes harder eradicate political busines interests many politicians fund campaigns corrupt means later pay back investors government contracts orang policies big businesses often collude officials win contracts orang avoid regulations passes generations role models younger generations corrupt practices normal way get ahead family influence political busines families pas power corrupt networks weak law enforcement without serious consequences corruption remains attractive economic pressures tough times people prioritize survival integrity stopped yes requires strong law enforcement independent judiciary better education ethics integrity higher salaries public officials transparency government transactions public awarenes zero tolerance corruption
"Gw sih udh muak ngeliat pemerintahan disini...pejabatnya hanya bisa korup dan bacot doang. Kewajiban rakyat aja yg dituntut, pajak terus dikejar, ar pajaknya hanya bisa berburu di akuarium, bukannya cari wp baru. Si pejabat anjing bilangnya ga nasionalis dll, lo sendiri korup... Hak kita sebagai rakyat mana??? Jalan raya/tol aja msh tambal sulam... Seandainya gw thanos, gw hialngkan semua koruptor, org mabok agama dan orang bodoh di negara ini...",gue muak lihat perintah disinipejabatnya korup bacot doang wajib rakyat tuntut pajak kejar ar pajak buru akuarium cari wp jabat anjing bilang nasionalis dl korup hak rakyat jalan rayatol tambal sulam gue thanos gue hialngkan koruptor orang mabok agama orang bodoh negara
"hahahaha, lu kan kabur duluan",hahahaha kabur duluan
Kok jokowi kaga disebut.... Mas panji.... Memang skarang lebih sulit cari kerja... Apalagi banyak phk... Tau engga mas panji sekarang sektor f&b makin turun omsednya .... Karena sepi tapi yah... Terserah orang berpikir... Apa tapi Indonesia lagi sulit..... Koruptor bnyak diindonesia.... Mungkin mahasiswa demo hukum mati koruptor....,jokowi kagak mas panji sulit cari kerja phk mas panji sektor fb turun omsednya sepi serah orang pikir indonesia sulit koruptor indonesia mahasiswa demo hukum mati koruptor
"percaya lah,soal korupsi di indonesia udah gak ada obat nya,kecuali itu smua penjabat DPR di habisin semua,ibarat nya harus di reset factory lah gitu,saya dan istri juga sudah punya planning utk move ke amerika tahun depan setelah anak saya selesai TK dsini,saya gak bs bayangin gimana nasib anak saya nanti kalo udah dewasa kalo indo kayak gini terus...kasian klo anak harus ngalamin yg sama seperti saya skrg",percaya lahsoal korupsi indonesia obat nyakecuali jabat dpr habisin semuaibarat reset factory begitusaya istri planning move amerika anak selesai disinisaya bayang nasib anak dewasa indonesia kayak teruskasihan anak ngalamin
bro ini adalah wujud asli kabur aja dulu,wujud asli kabur
"AKu udah kabur sejak 1993, di kampung aku dibulying dan selalu dibikin biar tetap miskin bareng. Skr banyak yg ingin mengikuti langkahku. Krn frustrasi semua hukum rusak, Th 70 an aku sll dibulying krn miskin. Nilai sekolah SD ku paling baik tapi di akhir th krn ngak berduit, tetanggaku yg org kaya atau ada bisikan aku jadi ngak dpt juara. jadi dari dulu negara kita gampang di tombak tombok.",kabur kampung dibulying bikin miskin bareng langkah frustrasi hukum rusak dibulying miskin nilai sekolah sd ku duit tetangga orang kayak bisik juara negara gampang tombak tombok
"yang bilang orang yg Kabur Aja Dulu tidak nasional, terakhir berobat ke luar negri juga tuh",bilang orang kabur nasional obat negeri
"Sedikit koreksi. Para eksil karena peristiwa 1965, mereka tidak kabur melainkan tidak bisa pulang. Dalam kondisi lain, mereka dimungkinkan pulang tapi dengan konsekuensi mendapat persekusi dari negara (dicabut hak-hak sipilnya) karena pilihan politiknya sehingga mereka memilih tidak pulang.",koreksi eksil peristiwa kabur pulang kondisi pulang konsekuensi persekusi negara cabut hakhak sipil pilih politik pilih pulang
"Kabur aja,kita berjuang di sini untuk good goverment,ketika itu terjadi org indonesia mendunia",kabur sajakita juang good govermentketika orang indonesia dunia
Itu adalah hak seseorang .. tapi itu juga sebuah tamparan tegas .. bagi pemerintahan.. kenapa itu bisa terjadi..,hak orang buah tampar perintah
"di china jg ad yg pd kabur aja dulu jaman pki, ad 1 desa orang2 ngungsian dr indonesia",china kabur jaman pki desa orangorang ngungsian indonesia
"Setuju, don't ask what your country can do for you but ask what you can do for your country?,,,,",tuju dont ask country ask country
"Loe kuliah di konoha Di universitas ternama Nyampe di luar negri kagak ada arti nya Masih dibawah standar loe semua....., Makanya diatas langit masih ada langit, Saingan loe Dunia brooooo, Artis di indo nyampe di Luar Negri loe ngak ada arti nya apa apa ....., Makanya Jgn SOMBONG jadi Manusia.",kuliah konoha universitas nama negeri kagak arti standar langit langit saing dunia artis indonesia negeri arti sombong manusia
setuju bro kalau gw jg main di 𝗃𝗉𝗍𝗈𝗀𝖾𝗅77 gacir,tuju gue main jptogel gacir
"Bang,, mending bikin video tutorial gimana caranya out from here n survive di luar negri. Spya pmrintah² yg pengecut, pjbat² bi a dab, oligarki² an j ing & penegak² hkum ba jingan  tu TAU RASA ditinggalin ama sapi perahnya alias rakyat..",mending bikin video tutorial n survive negeri spya pmrintah kecut pjbat bi dab oligarki ing tegak hkum ba jingan ditinggalin sapi perah alias rakyat
Saya di jepang tapi masih mantau Indonesia..😊,jepang mantau indonesiawajahtersenyumdenganmatabahagia
Kabur Aja dulu banyakan yg gak mau balik 😂,kabur wajahgembiraberuraiairmata
"ya mau gmn lg, biaya utk pesta demokrasi mahal...balikin modal pst lbh mahal, masa cm balik modal gk dpt untung?   ya korupsi adalah jln keluar..",biaya pesta demokrasi mahalbalikin modal mahal modal untung korupsi jalan
"PAJAK DI KORUP MINYAK DI KORUP LISTRIK DI KORUP GAS DI KORUP KALO BISA UDARA DI KORUP.   Tapi tenang, wakanda ini sebagian besar SDM RENDAH, nanti juga lupa. udah miskin, bodoh, pelupa pula, pantes aja koruptor nyaman.",pajak korup minyak korup listrik korup gas korup udara korup tenang wakanda sdm rendah lupa miskin bodoh lupa koruptor nyaman
Mau kabur belum punya modal 😭,kabur modal wajahmenangiskeras
tutor kabur ke LN pan,tutor kabur ln
"Benar bangat om. Apa lagi buat kami yg disabilitas ini. Kesempatan kami lebih kecil. Mau kabur, tak ada daya dan upaya. Hari ke hari bagai makan empedu kami rasakan disini.😢",banget om disabilitas kabur daya upaya makan empedu disiniwajahmenangis
"Ga usah jauh2 Bang, nonton Coldplay di Indonesia harganya lebih mahal 2x lipat dr Singapura, tapi kacau.. banyak yg pny tiket ga bs masuk. Yg kemaren DWP, bisa2nya penonton asing dipalakin 1312, KOK BISA BANG???!! Mau cinta sama negara ini tuh susaaaaaah bgt Bang.. 😢",tonton coldplay indonesia harga mahal x lipat singapura kacau tiket masuk kemarin dwp tonton asing dipalakin cinta negara susaaaaaah banget wajahmenangis
"Nih liat nih, panji aja yang dulu kabur ke us akhirnya balik karena gagal di us, karirnya gk berhasil. Panji loh, apa kabar kalian yg rame doang di sosmed mau kabur2an, jadi gelandangan kalian di luar negeri. Nyusahin kedutaan, jadi tanggungan lagi. Yg fomo2 kabur, noh fomo sama orang gaza noh, sekalian kabir ke akhirat.",lihat panji kabur us gagal us karirnya hasil panji loh kabar rame doang sosmed kabur gelandang negeri susah duta tanggung fomo kabur noh fomo orang gaza noh kabir akhirat
"Bang, sekarang cari kerja selain harus bisa Bahasa Inggris harus bisa Bahasa lain, Mandarin, Jepang, Korea, dsb. Tau begini waktu kuliah kabur aja dulu 😢",cari kerja bahasa inggris bahasa mandarin jepang korea dsb kuliah kabur wajahmenangis
"nyesek udahan liat kondisi negara ini kalo bagi gw. udah diposisi nangis dibatin, udah ampir pasrah ama pemerintah yg susah bgt buat ngertiin rakyatnya. Udah capek aja. Ngeluhlah sekali"" gw disini biar plong. Cape cuy belaga baik"" aja di kerjaan ama kehidupan ini.  Kuliah sampai S-1 lulus honorer, perbulan 1 jt. Daftar PPPK sejauh ini blm beruntung. Ditambah rasanya nyesek jadi sandwich generation, dan uang ga kekumpul sama sekali, abis buat ortu dan adik yg kuliah. Harrga naik, UMR sama aja. Ga balance. Sedang, disana diluar kerja bersihin rumput aja gajinya bisa buat bikin rumah cuy. Mau ikut Kabur aja dlu niat memperbaiki ekonomi terhalang ekonomi. Nglamar sana sini dari 2024- saat ini yg gajinya diatas honorer, hasilnya nol. 80% pabrik gw lamar ga ada kabar abis interview, sisanya syarat ga pernah tercukupi. Rasanya kek nyesek aja di Indonesia syaratnya.  Usia segini, pengalaman segitu, gaji becanda. Bayar pajak sudah, pejabatnya berlomba lomba korupsi dan presidenya menolak Indonesia gelap cuma berdalil ramalan dan menafikan kenyataan yg terjadi saat ini. Dalam hati udah pasrah sih, udh kasih aja negara ini abis pak prabowo ke gibran, bobi, kaesang, jan estes.",sesak udahan lihat kondisi negara gue posisi menang batin ampir pasrah perintah susah banget erti rakyat capek ngeluhlah gue plong capek cuy belaga kerja hidup kuliah lulus honorer juta daftar pppk untung sesak sandwich generation uang kumpul habis orang tua adik kuliah harrga umr balance kerja bersihin rumput gaji bikin rumah cuy kabur niat ekonomi halang ekonomi nglamar gaji honorer hasil nol pabrik gue lamar kabar habis interview sisa syarat kayak sesak indonesia syarat usia gin alam segitu gaji becanda bayar pajak jabat lomba lomba korupsi presidenya tolak indonesia gelap dalil ramal nafi nyata hati pasrah kasih negara habis prabowo gibran bobi kaesang estes
Gw juga klo muda kabur k negri lain tp gw uda tua makanya yg muda2 kabur dulu tp ga se masive zaman dulu bung klo dulu politician zaman sekarang bukan politician bung jd beda zaman dahulu,gue muda kabur negeri gue tua muda kabur masive zaman politician zaman politician beda zaman
"Yg semangat nge-tag ""kaburajadulu"" biasanya sambil rebahan di rumah. Sedangkan yang sudah terlanjur kabur, cm bisa menertawakan mereka, haha.",semangat ngetag kaburajadulu rebah rumah lanjur kabur tertawa
Alhamdulillah gua bersyukur banget anak gua wna.skolah gratis enak dia luar negeri,alhamdulillah syukur banget anak wnasekolah gratis enak negeri
"Ketika orang indonesia yg berada di luar negeri tidak boleh mengkritik/peduli/membahas tentang Indonesia, lantas apa kabar orang indonesia yang berada di Indonesia, tapi ngomongin soal korea mulu, fanatik/fomo, bahkan sampe politik dan dinamika yg terjadi di Indonesia sendiri tempat mereka tinggal aja nggak paham.. karena sibuk dengan trend2 drama yg mereka agung2kan dari korea itu.....?????  Apa mereka gapapa kalo disebut dengan bocah kosong??",orang indonesia negeri mengkritikpedulimembahas indonesia lantas kabar orang indonesia indonesia omong korea mulu fanatikfomo politik dinamika indonesia tinggal paham sibuk trend drama agung korea gapapa bocah kosong
"tapi mas, kabur aja dulu mostly diresahkan oleh gen z yg mayoritas blm pernah merasakan dunia kerja, bisa dibilang kabur aja dulu ini menurutku ada faktor fomonya dan sedikit memperlihatkan gen z ini mereka pengen punya duit banyak tanpa bekerja keras",mas kabur mostly resah gen mayoritas dunia kerja bilang kabur faktor fomonya lihat gen pengin duit kerja keras
Gue pengen banget keluar negeri umur 35 susah banget nyari kerja pernah suatu saat ngelamar malah hrd ny bilang mending ngojek aja mas. Disitu pengen sakit hati tp diri sadar lagi susah 😢,gue pengin banget negeri umur susah banget cari kerja ngelamar hrd bilang mending ngojek mas situ pengin sakit hati sadar susah wajahmenangis
Dr dulu jg udh banyak yg kabur.. jd tki.. tp balik lg..,kabur tki
"Justru dengan diungkapkan bahwa ""Kabur Aja Dulu"" sudah diterapkan sejak jaman sebelum RA. Kartini, malah semakin menyakitkan bahwa sulitnya mencari kesejahteraan di tanah air sendiri itu masih aja susah. Setelah lewat hitungan waktu ""abad"", tetap aja susah meraih kesejahteraan di negeri sendiri, buat kalangan non-privilege...",kabur terap jaman ra kartini sakit sulit cari sejahtera tanah air susah hitung abad susah raih sejahtera negeri kalang nonprivilege
"Betul apa yg di katakan Abang panji ini,sbg mana yg aku rasakan yg sdh lama kabur aja dulu,dr kecil malah ngabur ke luar negeri,terimakasih yaa Bang atas ulasannya.",abang panji inisebagai kabur duludari ngabur negeriterimakasih ulas
Warga Indonesia lg pada ribet bgt ya. Warga bekasi aman aman aja ini. Sini kabur aja dulu ke bekasi,warga indonesia ribet banget warga bekas aman aman kabur bekas
"Lah justru anak anak bangsa yang disekolahin negara LPDP harus balik untuk membangun negaranya.   Bukan malah compare soal gaji. Kalau compare soal gaji di negara lain lebih tinggi dan gak mau balik ke indonesia ya sekolah aja pakai duit sendiri, beasiswanya dialokasikan untuk mahasiswa lain yang lebih mau mengabdikan ilmu yang didapat demi pembangunan negara.   .  Kalau awardee LPDP gak mau balik, berarti sama aja perusahaan Luar Negeri mau ngambil talenta2 cerdas lulusan universitas terbaik tapi persh asing itu gak mau membayari biaya kuliah talent2 tersebut. Biaya pendidikan talent2 tersebut dari APBD lalu persh terima jadi udah bagus. Tanpa mengeluarkan biaya sedikitpun. Uang APBN lhoh itu..! Uang rakyat lhoh. Trus rakyat dapat apa?  .  Sekarang dibalik deh. Anda owner perusahaan kelas menengah. Persh Anda butuh berkembang dan Anda rela investasi SDM supaya ketika SDM nya balik persh Anda bisa maju dan berkembang. Eh, setelah SDM disekolahin, malah kabur. Uang Anda hilang. Yakalo SDM yang disekolahin 1 atau 2 orang sih itung2an nya lebih mudah. Ini ratusan lhooo.. Uang sekolah, biaya akomodasi bulanan, keperluan penjunjang kuliah, dll nya. Trus SDM Anda yang jumlahnya puluhan atau ratusan kabur gitu aja, gak mau balik dengan alasan kerja apa, gaji cuma dikit. Gimana coba?  .  (siapa sih yang ng-interview penerima LPDP, kok bisa ngelolosin awardee yang ujung2nya gak mau balik membangun negaranya)",anak anak bangsa disekolahin negara lpdp bangun negara compare gaji compare gaji negara indonesia sekolah pakai duit beasiswa alokasi mahasiswa abdi ilmu bangun negara awarde lpdp arti usaha negeri ngambil talenta cerdas lulus universitas persh asing bayar biaya kuliah talent biaya didik talent apbd persh terima bagus biaya uang apbn lhoh uang rakyat lhoh rakyat deh owner usaha kelas persh butuh kembang rela investasi sdm sdm persh maju kembang eh sdm disekolahin kabur uang hilang yakalo sdm disekolahin orang itungan mudah ratus loh uang sekolah biaya akomodasi penjunjang kuliah dl sdm puluh ratus kabur alas kerja gaji dikit coba nginterview terima lpdp ngelolosin awarde ujung bangun negara
panji pelopor kabur aja dulu,panji pelopor kabur
"Jangan lupa ada puluhan juta kelas menengah di indonesia baik pengusaha ataupun professional juga pegawai swasta  di perusahaan 2 besar . Apakah menurut mereka harus kabur dulu..jadi kalo melihat suatu permasalahan ngk bisa hanya dari satu sisi..seperti panji bilang siapapun presiden nya masalah pasti ada.. kan sukarno bilang apa yang kamu berikan bagi negara bukan apa yg negara berikan.. jadi jangan cengenglah jutaan ojol tiap hari semangat mengais rejeki dan survive jutaan orang berjualan dipasar tiap hari untuk bisa membayar kuliah anaknya , ratusN ribu orang berjualan online..dan semua mereka bisa hidup. Jadi sekali lagi jangan lebay 😂😂😂",lupa puluh juta kelas indonesia usaha professional pegawai swasta usaha kabur dulujadi lihat sisiseperti panji bilang presiden sukarno bilang ikan negara negara ikan cengeng juta ojol semangat kais rejeki survive juta orang jual pasar bayar kuliah anak ratusn ribu orang jual onlinedan hidup lebay wajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmata
apalagi pertamax ternyata petralite. dah ah balik lagi ke singapur,pertamax nyata petralite deh ah singapur
"Mau tanya kalian pikir untuk kerja diluar negeri gampang??  Ngk usah kerja visa  wisata aja  blm tentu di approve..kalo ngk punya modal, bahkan orang yg punya uang banyak juga blm tentu diterima visanya terutama amerika dan eropa..sampai saat ini saja jutaan orang mau kerja diluar negeri tapi apa segampang bunyi hastag nya😂😂😂😂😂 jadi ngk perlu lah main hastaghastagkan... Lebay... jangan kan dapet visa jgn jangan ngurus passport aja ngutang dulu..😂😂😂😂😂 terus apa yg ditakutkan.. hanya narasi yg didompleng oleng kepentingan  politik",pikir kerja negeri gampang kerja visa wisata approvekalo modal orang uang terima visa utama amerika eropasampai juta orang kerja negeri gampang bunyi hastag nyawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmata main hastaghastagkan lebay visa urus passport ngutang duluwajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmata takut narasi dompleng oleng politik
maksudnya kabur dulu itu apa ya yg lagi booming.  ga paham,maksud kabur booming paham
