Teks_Komentar,teks_final,sentiment
"Nonton ini sambil kerja jam 00:25, browsing dong 'Evan Dimas Sunderland' kirain beneran. Ternyata ngantuk2 :))",nonton kerja jam browsing evan mas sunderland kirain beneran nyata ngantuk,Netral
"Saya orang indo yg udah menetap di  New Zealand, belakangan ini dapet message dari teman2 di indo yg pengen info gimana caranya kerja di luar, karna mereka bilang kondisi ekonomi di indo makin jelek….barulah saya tau viral nya kabur aja dulu. Banyak juga yg berminat jadi illegal, saran saya jangan deh jadi illegal soalnya nanti kalo ketauan bakal di deport dan black list, mau pindah ke negara lain juga gak bisa karna ada catatan hitam nya. Juga hati2 kalo pake agent2 di indo yg offer jasa cariin kerja di luar tapi harus bayar…itu banyak yg ketipu",orang indo new zealand message teman indo ken info gimana kerja luar bilang kondisi ekonomi indo jelek viral kabur minat illegal saran tidak illegal deport black list pindah negara tidak ada catat hitam hati pakai agent indo offer jasa cari kerja luar bayar tipu,Positif
"Saya orang indo yg udah menetap di  New Zealand, belakangan ini dapet message dari teman2 di indo yg pengen info gimana caranya kerja di luar, karna mereka bilang kondisi ekonomi di indo makin jelek….barulah saya tau viral nya kabur aja dulu. Banyak juga yg berminat jadi illegal, saran saya jangan deh jadi illegal soalnya nanti kalo ketauan bakal di deport dan black list, mau pindah ke negara lain juga gak bisa karna ada catatan hitam nya. Juga hati2 kalo pake agent2 di indo yg offer jasa cariin kerja di luar tapi harus bayar…itu banyak yg ketipu",orang indo new zealand message teman indo ken info gimana kerja luar bilang kondisi ekonomi indo jelek viral kabur minat illegal saran tidak illegal deport black list pindah negara tidak ada catat hitam hati pakai agent indo offer jasa cari kerja luar bayar tipu,Positif
"Saya orang indo yg udah menetap di  New Zealand, belakangan ini dapet message dari teman2 di indo yg pengen info gimana caranya kerja di luar, karna mereka bilang kondisi ekonomi di indo makin jelek….barulah saya tau viral nya kabur aja dulu. Banyak juga yg berminat jadi illegal, saran saya jangan deh jadi illegal soalnya nanti kalo ketauan bakal di deport dan black list, mau pindah ke negara lain juga gak bisa karna ada catatan hitam nya. Juga hati2 kalo pake agent2 di indo yg offer jasa cariin kerja di luar tapi harus bayar…itu banyak yg ketipu",orang indo new zealand message teman indo ken info gimana kerja luar bilang kondisi ekonomi indo jelek viral kabur minat illegal saran tidak illegal deport black list pindah negara tidak ada catat hitam hati pakai agent indo offer jasa cari kerja luar bayar tipu,Positif
"Saya orang indo yg udah menetap di  New Zealand, belakangan ini dapet message dari teman2 di indo yg pengen info gimana caranya kerja di luar, karna mereka bilang kondisi ekonomi di indo makin jelek….barulah saya tau viral nya kabur aja dulu. Banyak juga yg berminat jadi illegal, saran saya jangan deh jadi illegal soalnya nanti kalo ketauan bakal di deport dan black list, mau pindah ke negara lain juga gak bisa karna ada catatan hitam nya. Juga hati2 kalo pake agent2 di indo yg offer jasa cariin kerja di luar tapi harus bayar…itu banyak yg ketipu",orang indo new zealand message teman indo ken info gimana kerja luar bilang kondisi ekonomi indo jelek viral kabur minat illegal saran tidak illegal deport black list pindah negara tidak ada catat hitam hati pakai agent indo offer jasa cari kerja luar bayar tipu,Positif
Di Indonesia ada jaminan. Jaminan DIPALAK sama pemerintah dan aparatnya. Satu satunya yang cuma indonesia yang bisa.,indonesia ada jamin jamin palak pemerintah aparat indonesia,Positif
"contoh jgn dimas lah, yg jelas"" di depan mata itu gk jauh"" yg rio F1 di indonesia mana nama nya redup, coba dulu dia mau pindah ke singapur nama nya pasti udah di inget, sama kaya megawati coba dia masih main di liga voli indo mana ada nama nya setinggi sekarang, sudah lah buang jauh"" soal nasionalisme tentang negara, negara tuh gk menjamin elu, lu cari makan sendiri bertahan hidup sendiri negara tau nya lu ada duit ada gaji yah bayar pajak gitu doang, bentar lagi juga negara indonesia jadi negara termiskin",contoh tidak mas jelas mata tidak rio indonesia nama redup coba pindah singapur nama inget kaya megawati coba main liga voli indo ada nama buang nasionalisme negara negara tidak jamin elu cari makan tahan hidup negara ada duit ada gaji yah bayar pajak gitu doang bentar negara indonesia negara miskin,Positif
Kartono sarjana pertama dari indonesia,kartono sarjana indonesia,Netral
Bang panji disini kliatan kecewa banget ama Indonesia dari hati banget ngomong nya kliatan banget dia sayang Indonesia 😢,panji lihat kecewa banget indonesia hati banget ngomong lihat banget sayang indonesia,Positif
cari jurnal tentang topik yang mirip mirip dengan topik kabur aja duluu banyakk gaa ya?,cari jurnal topik topik kabur banyakk gaa,Netral
28:42 gw setuju banget bang,setuju banget,Netral
"Setuju bgt sama panji, suami saya mau pindah kebali ,saya ga mau, saya kekeh stay di Australia krn saya tau hidup di indonesia itu spt apa,birokrasi ,dll buat pusing.",setuju banget panji suami pindah kebal tidak kekeh stay australia hidup indonesia birokrasi dll pusing,Positif
"masi proses,semoga bisa pindah sekeluarga ke luar negeri",proses moga pindah keluarga luar negeri,Positif
rakyat akan selamanya susah kalau pemerintahnya kagak becus dan negaranya ga akan bisa maju-maju ...,rakyat susah perintah tidak becus negara tidak maju maju,Positif
"trknal d indo,hbat di indo?di mata dunia mrk tau negara kt aja blm tentu~ enak bgt ya kalo punya paspor kuat, lu mau terbang kmn ya modal tiket aja.. ngurus visa udah lama mana blm tntu lolos pula hadehh klo ad duit mah smua jg pd milih uda pndidikan dluar tinggal dluar ajaa krn klo di indo teh masdep suremm haiss kerja dgn gaji yg ga sbrpa syaratnya aja kebykkan.. widiii bbk dibahas! aih dikata gimmick kosongnya ahah",trknal indo hbat indo mata dunia negara tidak enak banget paspor kuat terbang kmn modal tiket aja urus visa tidak tntu lolos hadehh ada duit milih pndidikan luar tinggal luar indo teh masdep suremm haiss kerja gaji tidak sbrpa syarat kebykkan widiii bbk bahas aih gimmick kosong ahah,Positif
"500 WNi asal Myanmar mudik, apa dulunya 'kabur aja dulu'?",wni myanmar mudik dulunya kabur,Netral
Mau kabur aja juga susah. Ke ln itu mahal. Cuma org kaya aja yg bisa kerja ke ln,kabur susah luar negeri mahal orang kaya kerja luar negeri,Positif
"Kita juga lagi bahas ini nih. Diskusi ama diaspora Indonesia di luar negeri. Yang penting mah orang bisa berkarya positif secara maksimal lah, di mana pun juga.",bahas diskusi diaspora indonesia luar negeri orang karya positif maksimal,Netral
Sedih banget ya jadi orang Indonesia. Gaji cuma buat kehiduap untuk menuju gaji bulan berikutnya. Giliran Pakai BPJS. Kaya kita ngemis2 dirumah sakit. Ya allaaaah...,sedih banget orang indonesia gaji kehiduap tuju gaji gilir pakai bpjs kaya ngemis rumah sakit allaaaah,Positif
"25:15 ini tuh yg luhut bilang klo di luar negeri ga dihargai, ya si luhut di Indonesia menteri, orang2 nunduk2 jalan depan dia, pake vooraider kemana2.. Ya itu kan dia ya.. Lah kita di indo ga siapa2, di luar negeri jg ga siapa2 ya ga ada bedanya kan.. Jadi jangan takut, klo ada kesempatan buat kabur aja dulu, kabur aja",luhut bilang luar negeri tidak harga luhut indonesia menteri orang nunduk jalan pakai vooraider indo tidak luar negeri tidak tidak ada beda tidak takut ada kabur kabur,Positif
cari kerja di sini kek skema ponzi njir,cari kerja skema ponzi anjir,Positif
"gue juga mau jadi diaspora, buat nambahin orang, semisal penyanyi atau comedian, atau penulis deh dari Indonesia berkarya, karyanya bisa jauh, gak cuma di indonesia ajah",diaspora nambahin orang nyanyi comedian tulis indonesia karya karya tidak indonesia,Positif
"Yg kuat budaya dan tradisi yg sudah mendarah daging,hingga menghambat kemajuan negeri ini, bukan brarti harus keluar dari norma2 akhlak dan adab. Jgn sampai kita agung2kan  kita bangsa timur yg hrsnya berakhlak dan beradab,tapi kenyataannya...KORUPSI MERAJALELA.. Salah satu contoh...😢😢",kuat budaya tradisi darah daging hambat maju negeri tidak arti norma akhlak adab tidak agung bangsa timur akhlak adab nyata korupsi rajalela salah contoh,Positif
"Terutama, Kalian pahami penyebab kerisis penduduk di jepang.",utama paham krisis duduk jepang,Negatif
"Mereka yang kabur, mereka tidak paham tentang ke adaan di luar Negeri,😅😅 Saya sudah melihat keadaan luar Negeri, Rasisme sangat kental dan Biaya yang besar bagi warga Asing. Terutama yang ingin mencari kerja di jepang, apa kalian tidak melihat penyebab jepang kerisis penduduk.",kabur tidak paham ada luar negeri lihat ada luar negeri rasisme kental biaya warga asing utama cari kerja jepang tidak lihat jepang krisis duduk,Negatif
Negara apa rekomendasi buat kabur ?,negara rekomendasi kabur,Positif
"tetangga saya 5 keluarga udh pindah kewarganegaraan , dan pindah ke luar negeri semua , ekonominya lebih stabil , sayapun memutuskan buat cabut dan keluar dari NKRI , sebelum teelambat , negara ini sudah tidak tertolong lagi , lebih baik cabut dari sekarang ,",tetangga keluarga pindah kewarganegaraan pindah luar negeri ekonomi stabil putus cabut nkri belum teelambat negara tidak tolong cabut,Positif
"Kabur aja dulu itu tidak rasional, diperlukan persiapan matang seperti keterampilan termasuk keterampilan bahasa, akomodasi, dana, dan semua itu membutuhkan uang yang tidak sedikit untuk menunjang kehidupan di luar sana. Lagipula pajak di beberapa negara itu berat, bahkan tv dan radio bahkan internet pun kena pajak.",kabur tidak rasional matang terampil masuk terampil bahasa akomodasi dana butuh uang tidak tunjang hidup luar lagipula pajak negara berat radio internet kena pajak,Negatif
"GPP kabur aja dulu, asal di negara orang itu  lu kerja bener, dan kuat mental ketika disuru bayar TAX. Hahaha. negara maju tax nya ga main2 bosque.  Yang manja, mental tempe, kena pressure amerika, jerman, inggris, prancis jepang korea mah pasti mencret. Kalo kena mental jakarta aja lu mewek, jangan harap bisa keluar negeri meski lu punya skill, dan punya duit. Yang udah2, temen2 gw ga sanggup kerja diluar negeri bukan karena mereka ga punya skill, tapi ga kuat mental.",tidak kabur negara orang kerja bener kuat mental suruh bayar hahaha negara maju tidak main bosque manja mental tempe kena pressure amerika jerman inggris prancis jepang korea mencret kena mental jakarta mewek tidak harap negeri skill duit udah temen tidak sanggup kerja luar negeri tidak tidak skill tidak kuat mental,Negatif
"satu ungkapan buat INDONESIA... GUA CINTA MATI SAMA LU, SAMA BANGSA LU, ORANG-ORANG JAWA, ORANG-ORANG SUNDA, ORANG-ORANG TIMUR, ORANG-ORANG ACEH, ORANG-ORANG DAYAK, PADANG, BETAWI, FLORES, AMBON, PAPUA, BALI, SELURUH SUKU DAN RAS INDONESIA DI PEDALAMAN KALIAN BERADA, ORANG-ORANG BAIK YANG HIDUP DAMAI DI PELOSOK TANPA MIKIRIN NEGARA, GUA CINTA SAMA KALIAN, KEBAIKAN KALIAN.  SELEBIHNYA SATU KATA BUAT PEMERINTAHAN INDONESIA DAN OKNUMNYA, KONTOOOOOLLLL!!!",indonesia cinta mati bangsa orang orang jawa orang orang sunda orang orang timur orang orang aceh orang orang dayak padang betawi flores ambon papua bal suku ras indonesia ada orang orang hidup damai pelosok tidak pikir negara cinta perintah indonesia oknum kontooooollll,Positif
Kakek Sugiono : Welcome to Japan. I Like U & U ready ? Julurkan lidah dan sini² ikut gabung,kakek sugiono welcome japan like ready julur lidah gabung,Positif
Kabur aja dulu? Lah presidennya juga alumni kabur aja dulu ngaco bahlul!!,kabur presiden alumni kabur ngaco bahlul,Negatif
bg gw nanya kalo orang yg keluar negeri tapi pergi ke arab saudi untuk menunaikan ibadahnya selama 1 atau 5 bulan apakah tidak nasionalisme   tolong dijawab bg  manusia akan melakukan apapun untuk dirinya sendiri daripada orang lain,orang negeri pergi arab saudi tunai ibadah tidak nasionalisme tolong manusia laku orang,Netral
pasti ada akar masalahnya mengapa sampai seperti itu sistem pemerintah Indonesia,ada akar sistem pemerintah indonesia,Positif
"Lo tau gak bang menurut gua nih yaa pemerintahan bisa gua anggap kaya bapak gua sendiri, mereka gak mau tau dan gak mau ngakuin kita kalau kita gak bisa mandiri, mereka cuma bisa bikin kita kesel terus akhirnya kita berontak dan bangkit dengan kekecewaan kita dan emosi kita, cara itu paling mudah dan murah bang aslinya, gua nih kaga jadi apa2 di rumah di bikin kesel terus ada aja isengnya bikin gua gak nyaman, biar gua keluar dari rumah mandiri dan bisa sukses abis itu dia bisa claim anaknya hebat dengan didikan mereka yg murahan dan nyebelin itu, mereka gak perlu sekolahin anak, les in anak, mahal2 cukup bikin kesel aja sampe emosi kita muncak gak nyaman terus cabut sampe bisa mandiri dan sukses. Begitu bang kayanya caranya sama boomers begitu karna mereka bisa mandiri dari susah dan tanpa parenting yg baik, jadi mereka masih pakai cara lama, lo liat aja bang isinya boomer semua pemerintahan",tidak perintah anggap kaya tidak tidak ngakuin tidak mandiri bikin kesel berontak bangkit kecewa emosi mudah murah asli tidak rumah bikin kesel ada iseng bikin tidak nyaman rumah mandiri sukses habis claim anak hebat dik murah nyebelin tidak sekolah anak les anak mahal bikin kesel emosi muncak tidak nyaman cabut mandiri sukses boomers mandiri susah tidak parenting pakai lihat isi boomer perintah,Positif
"Naaah lhoooo, sadarlah Pemerintah, perbaiki iklim pemerintahan, demokrasi, penegakan hukum, dll berdasarkan meritokrasi, kesetaraan dan keadilan.😃",naaah lhoooo sadar pemerintah iklim perintah demokrasi tega hukum dll dasar meritokrasi tara adil,Positif
"di Indonesia gausah jauh-jauh ngomong politik, pemerintah yang amburadul, sesimpel temen gua dari Malaysia dan Thailand, diselak lagi ngantri di Circle K sampe mereka heran aja udah cukup bikin gua malu sebagai warga Indonesia. Gua tetep cinta Indonesia tapi bukan Cinta Buta. Gaakan deh buang-buang waktu terlalu banyak disini. In fact orang Indonesia itu pinter, cekatan, perfeksionis. Apes aja UMR nya kecil wkwkwkwk",indonesia tidak ngomong politik pemerintah amburadul simpel teman malaysia thailand selak ngantri circle heran bikin malu warga indonesia cinta indonesia tidak cinta buta tidak buang buang fact orang indonesia pinter cekat perfeksionis apes umr hahaha,Positif
"Memang ngawur para pejabat di negara ini  Kebanyakan gila kekuasaan                        gila kekayaan                        gila jabatan                        gila gilaan mungkin  dari 100 % hanya 0,5 % itu kalau ada",ngawur jabat negara gila kuasa gila kaya gila jabat gila gila ada,Positif
Kalau rakyat di negara ini kabur aja dulu  Yang pasti para pejabat di negara ini dengan senang hati mereka tertawa terbahak-bahak  Karna mereka semakin besar peluang untuk menghabiskan hasil bumi di negara ini,rakyat negara kabur jabat negara senang hati tertawa bahak bahak peluang habis hasil bumi negara,Positif
yang ga nasionalis itu yang korupsi. itu aja!,tidak nasionalis korupsi aja,Positif
"enaknya disini bang santai doang, cuma kalau cuma kerja doang bakal miskin seumur hidup, pekerja itu miskin disini mau punya skill mau enggak. contohnya gw kerja gak kaya2, punya tabungan enggak, punya skill iya, gajinya cuma abis buat bayar kontrakan dan idup sehari hari.  emak gw nyuruh2 gw pergi ke jepang terus, cuma gak ada modal",enak santai doang kerja miskin umur hidup kerja miskin skill tidak contoh kerja tidak kaya tabung tidak skill iya gaji habis bayar kontra hidup emak nyuruh pergi jepang tidak ada modal,Positif
"Aku setuju sih kalo orang pindah ke luar hanya karena ga kerjaan, tapi kalau masalah pindah warga negara aku kurang setuju karena pasti konsekuensi nya udah berbeda, dia bakal 100 persen mengabdi ke negarannya sekarang tapi ini pr juga untuk pemerintah aja sih",setuju orang pindah luar tidak kerja pindah warga negara setuju konsekuensi beda persen abdi negarannya pemerintah,Positif
Kabur aja dulu gabung sama Rohingya,kabur gabung rohingya,Negatif
Pekerjaan dan rezeki gak di pemerintahan dan jabatan saja. Masih banyak yang lain koq,kerja rezeki tidak perintah jabat koq,Negatif
"setuju sih bang... pada mau balik lagi gak? ngebenerin sistim di indonesia. yang pinter2nya kabur beneran ke luar negeri, yang sisa kaum mendang-mending yang pola pikirnya juga mendang mending, opportunis... ya makin gini2 aja nih negara.",setuju tidak sistim indonesia pinter kabur beneran luar negeri sisa kaum dang mending pola pikir dang mending opportunis gin negara,Positif
"5:58 R. Sosrokartono, poliglot Indo yg sempat mewawancarai tentara di kereta saat perang dunia I",sosrokartono poliglot indo wawancara tentara kereta perang dunia,Netral
Mereka rugi lah bang kalo indonesia bener,rugi indonesia bener,Positif
"Riwayat kalah ku hanya di situs sebelah, cuman situs  𝖩𝖯𝖳𝖮𝖦𝖤𝖫77  penyelamat keuangan ku..",riwayat kalah situs belah situs jptogel selamat uang,Netral
"Riwayat kalah ku hanya di situs sebelah, cuman situs  𝖩𝖯𝖳𝖮𝖦𝖤𝖫77  penyelamat keuangan ku..",riwayat kalah situs belah situs jptogel selamat uang,Netral
TERIMAKASIH 𝖩𝖯𝖳𝖮𝖦𝖤𝖫77 MENANG SUPER HOKI KEREN TEPERCAYA DAN NYATA,terimakasih jptogel menang super hoki keren percaya nyata,Netral
"Mau apapun solusi pas ada pelanggaran tidak tegas dihukum dengan alibi kita orang timur asas norma"" yang disalah artikan oleh pelaku yaang tidak bertanggung jwb. Fakta lihatlah sekelilingmu dari hal kecil kalo tidak percaya.. org besar kecil sama aja . Membiarkan hal salah terjadi membuat ekosistem bertahun tahun terbentuk itu juga kontribusi dari kita sendiri",solusi pas ada langgar tidak hukum alibi orang timur asas norma salah arti laku yaang tidak tanggung jwb fakta lihat keliling tidak percaya orang salah ekosistem bentuk kontribusi,Positif
kabur ja kamu,kabur,Positif
"Gw S2 udah kerja skitar 20an tahun di Indo. Emang paling parah sekarang. Dulu, kualitas dan skill masih dipertimbangkan jd utama. Walaupun ada sebagian orang dalam.  Sekarang, orang dalam itu yang utama, bahkan yang memegang keputusan2 penting. Sedangkan orang yg punya skill, jadi orang suruhan aja supaya sistem ga ambruk. Gimanapun, kalau bagian pentingnya itu orang dalam. Sistem pasti kacau ujung2nya. Ini terjadi di semua lini, dari pemerintahan pusat, pendidikan, perusahaan, sampai ke desa2. Desa gw aja dipimpin preman lulusan SMP yang gajelas kerjanya apa. Uangnya kemana.  Oiya, setelah omnibuslaw, gw kena layoff dan sulit nyari lagi karna batasan umur di Indo. Gw tadinya oegang audit finance di perusahaan besar. Mereka bilang ada mslh ekonomi makanya layoff, gw ga percaya sama sekali. Bisa2nya mereka nilep duit suntikan dana. Maksa karyawan tanda tangan kerja 2 tempat (anak dan induk perusahaan) beserta suruh diam di perjanjian. Ini terkait tokoh besar yang ga bisa gw sebut.  Elu mungkin bisa menyebut era lain parah. Tapi gw yg terdampak, gw bisa bilang era ini paling parah. Meritokrasi hancur lebur dikuasai preman2 yang berkoloni bancakan.",kerja skitar indo emang parah kualitas skill timbang utama ada orang orang utama pegang putus orang skill orang suruh sistem tidak ambruk gimanapun orang sistem kacau ujung lini perintah pusat didik usaha desa desa pimpin preman lulus smp gajelas kerja uang oiya omnibuslaw kena layoff sulit nyari batas umur indo oegang audit finance usaha bilang ada ekonomi layoff tidak percaya korupsi duit sunti dana paksa karyawan tanda tangan kerja anak induk usaha suruh diam janji kait tokoh tidak elu era parah dampak bilang era parah meritokrasi hancur lebur asai preman kolon bancak,Positif
"Jangan harapkan ""pemerintahan berjiwa feodal"" ini berkeadilan nasionalisme bro kecewaaaa, ""ujung point"" dari suatu ""negara"" adalah ""pemerintahannya"" , dan kita sudah melihat betapa mengecewakan itu semua, bagi gw cukup ada alasan yang  membedakan hidup di negri orang dan di tanah air sendiri, yg ngebedain adalah lu bisa jauh lebih sejahtera dalam urusan prekonomian dari pada dinegara sendiri yg industrialisasinya gak berkembang..., padahal itu pilar2 negara agar kehidupan berjalan, perekonomian jalan, negara maju dan peradaban maju..",tidak harap perintah jiwa feodal adil nasionalisme kecewaaaa ujung point negara perintah lihat betapa kecewa ada alas beda hidup negeri orang tanah air ngebedain sejahtera urus prekonomian negara industrialisasinya tidak kembang pilar negara hidup jalan ekonomi jalan negara maju adab maju,Positif
"yah orang yang menempuh pendidikan diluar negeri sekalipun nanti entah balik atau tidak,, sebenarnya sama aja dengan kabur aja dulu....kabur aja dulu pendidikan diluar negeri, nanti baru balik lagi....",yah orang tempuh didik luar negeri tidak kabur kabur didik luar negeri,Positif
"jangan lupa juga, negara maju kaya jepang, inggris, perancis adalah negara imperial, ngerusak negara orang buat kemakmuran negaranya sendiri, termasuk indonesia adalah korban dari imperial eropa, sampe sekarang😂",tidak lupa negara maju kaya jepang inggris perancis negara imperial ngerusak negara orang makmur negara masuk indonesia korban imperial eropa,Negatif
"Sembari mau ingetin, kalo emang ada rencana berkarir permanen di LN jalur sekolah, banyak banget beasiswa yg dikasih oleh pemerintah LN dan kampus. Kalo lo emang merasa ga bisa komitmen bakal balik ke Indonesia, saran gw plis pakai beasiswa selain LPDP. Mari kita ngga jadi sama dengan orang orang lain yang berusaha ngakal ngakalin sistem yg bikin kapok tinggal di Indonesia dan bikin negara kita makin terpuruk",sembari ingetin emang ada rencana berkarir permanen luar negeri jalur sekolah banget beasiswa pemerintah luar negeri kampus emang tidak komitmen indonesia saran tolong pakai beasiswa lpdp mari tidak orang orang usaha ngakal ngakalin sistem bikin kapok tinggal indonesia bikin negara puruk,Negatif
"Pak prabowo juga pernah kabur kan dulu ,kalau ngak salah ke yordania beberapa tahun ,pulssng pulang buat partai",prabowo kabur tidak salah yordania pulssng pulang partai,Netral
"Yang harus diubah itu sistemnya karena kalau mau jadi pejabat harus banyak uang ujung""nya kebanyakan pejabat balas budi titipan oligarki dan pejabat yang mau balik modal dengan keluarganya dimasukkan serta cuci uang. Ayo semua rakyat harus turun ke jalan demo untuk buat peraturan yang mau menjabat di pemerintahan pusat maupun daerah harus kompeten dan beretika dan batas maksimal buat kampanye 3 jt sehingga orang jenius yang pengen ubah indonesia lebih baik lagi bisa nyalon. Juga buat peraturan pejabat itu kerjanya partime dari pekerjaan utamanya agar mereka juga merasakan sebagai rakyat dan presiden bisa dibagi 7 kayak di swiss agar tidak semena-mena.",ubah sistem jabat uang ujung jabat balas budi titip oligarki jabat modal keluarga masuk cuci uang ayo rakyat turun jalan demo atur jabat perintah pusat daerah kompeten etika batas maksimal kampanye juta orang jenius ken ubah indonesia nyalon atur jabat kerja partime kerja utama rakyat presiden swiss tidak semena mena,Positif
"kalo denger Rizal Fadilah serem, mending kabur sebelum kena bantai, nyawa lebih berharga  yg 58% ngga perlu kabur, ini kan kalian yg mau keadaan kaya gini, di mana2 selalu seolah2 paling cinta tanah air, kalo kalian kabur berarti kalian sama dengan menjilat ludah sendiri",dengar rizal fadilah rem mending kabur belum kena bantai nyawa harga tidak kabur ada kaya gin olah cinta tanah air kabur arti jilat ludah,Positif
"kalo denger Rizal Fadilah serem, mending kabur sebelum kena bantai, nyawa lebih berharga  yg 58% ngga perlu kabur, ini kan kalian yg mau keadaan kaya gini, di mana2 selalu seolah2 paling cinta tanah air, kalo kalian kabur berarti kalian sama dengan menjilat ludah sendiri",dengar rizal fadilah rem mending kabur belum kena bantai nyawa harga tidak kabur ada kaya gin olah cinta tanah air kabur arti jilat ludah,Positif
"Pemerintah tuh seharunya SADAR PLOK, Ga seharunya respon seprti itu buat rakyatnya  Minimal jawab untuk menenangkan, meyakinkan bukan justru malah bikin pesimis  Koplok",pemerintah sadar plok tidak respon seprti rakyat minimal tenang tidak bikin pesimis koplok,Positif
"Kabur aja dulu, kita sebarin bibit-bibit korupsi, kolusi, nepotisme, ketamakan, dan keserakahan yg udah tertanam di DNA orang Indonesia ke negara orang.",kabur sebarin bibit bibit korupsi kolusi nepotisme tamak serakah tanam dna orang indonesia negara orang,Negatif
"gw dengan berat hati , bulan depan ke tokyo aja mengadu nasib dah, meskipun berat ninggalin keluarga, tapi di sna setidaknya gw bisa buat org rumah makan enak, makan bergizi gratis dari setoran bulanan gw, kalo di sni mkan tahu tempe aja dah sukur wkwkwkkw, suwee suweek indonesia 2045 cemas kali yak,",berat hati tokyo adu nasib dah berat tinggal keluarga sna tidak orang rumah makan enak makan gizi gratis setor sni makan tempe sukur wkwkwkkw suwee suweek indonesia cemas kali yak,Positif
"yok pindah ke warga negaraan sekalian, biar gak nyumbang devisa, kalo nyumbang devisa ke enakan pejabat indo",yok pindah warga negara tidak sumbang devisa sumbang devisa enak jabat indo,Positif
Broooo kawan Lo udah jadi KSP ya.....  ternyata masih mlarat dia dan minta dukungan Bossnya  😄😁😂🤣,broooo kawan ksp nyata melarat dukung bossnya,Netral
INDONESIA INI PERMASALAHAN UTAMA CUMA DI MANUSIA NYA BUKAN INI BUKAN ITU. YG PAHAM PASTI NGERTI,indonesia utama manusia tidak tidak paham erti,Positif
Kebijakan pemerintah itu bijaknya disebelah mana?,bijak pemerintah bijak belah,Positif
"Klo panji, cari duit di indonesia, lalu kabur  ke amerika habisin duitnya,  lalu cari lagi di indo , dan kabur lagi ke amerika untuk habisin",panji cari duit indonesia kabur amerika habis duit cari indo kabur amerika habis,Netral
"gw dari SMA dah di australia, di sini aja pas masih sekolah dah bisa kerja meanwhile di indo kerja dah syarat ribet gaji kecil",sma australia pas sekolah kerja meanwhile indo kerja syarat ribet gaji,Positif
Saya. Ngangur pengen ke jepang,ngangur ken jepang,Positif
"Saya jujur sedih dengar mas panji ngomong gini, sesuram itu negara ini sampe bener bener tiap hari saya resah. Sampai sampai buka sosmed hanya untuk lihat hari ini pemerintah buat ketololan apa lagi 😢😢",jujur sedih dengar mas panji ngomong gin suram negara bener bener resah buka sosmed lihat pemerintah tolol,Positif
Soalnya Indonesia itu lahan surga tanah dan batu jadi tanaman maka mindset warganya jadi malas. Mau ada tujuan apa lagi gitu waktu jaman dulu belum waktu Belanda datang 1700an ternyata warga lokal juga korup (londo ireng),indonesia lahan surga tanah batu tanam mindset warga malas ada tuju gitu jaman tidak belanda nyata warga lokal korup londo ireng,Positif
Yg mampu Kabur segeralah sdangkan yg gk mampu siap2lah Revolusi.,kabur sdangkan tidak revolusi,Positif
Pak habibie juga keluarga akhirnya kabur ke jerman sampai sekarang,habibie keluarga kabur jerman,Positif
"Bang Panji Bener lagi. Aku kerja dgn salah satu salah satu organisasi kesehatan  di Jerman pada zaman COVID selama 1 tahun. Waktu itu kerja ku sebagai translator and juga admin. Walaupun cuma kerja 80 jam per bulan, karena waktu itu masih Student. aku bisa nabung sampe 12.000€.",panji bener kerja salah salah organisasi sehat jerman zaman covid kerja translator admin kerja jam student nabung,Positif
"njir ""apalah bahasa indonesia mulu, BANDIT."" relate bat ajg wkwkwk",anjir bahasa indonesia mulu bandit relate bat ajg hahaha,Positif
Aku jg mo ganti pasport warna Maroon aja ...,ganti paspor warna maroon,Positif
